client_id,cluster,tipo_cliente
17c690f1113f1aa85b90070671754c161e46d1af7b6d523c53ff52662739b88a,0,ativo
17f34eed63600c995f5a3b7fdbae7e5cd13094f430f281cef23e2fe8ae57aa8b,3,recorrente
1809feb458da4ed76bddfb824c086dd45e880d3c37946695c3c2c7bbe0983c2c,0,ativo
18189203885932afa0e35928801f756af2c1cfd367868216992c0ec49f943a58,0,ativo
183c2864280b9285a3f502c4b118d0328563c0a24d3dfcb8a597e23b868357a5,0,ativo
18401b085624c4637e30d1e139ae2ffd445fff26d461f12f0c7f1e20cdbe628e,0,ativo
185c66d41ec3c8a87327a9d8ca1da6208e95a417299195d524879a8ae631eb22,0,ativo
186860bb2c79705868b31b9f2dc55b874189bc3b1bdc70bb86be91cf9e64c761,3,recorrente
18794c0b3b65749431e0b73aa48da1b6fe3bae561b295505218b1b18a61107c4,3,recorrente
187e4edc68c1767b5a30649c49e51f3c85ae799784e8ffd34e6f832a4f400754,0,ativo
18984df13346464eb4354c6a476fcee092409c5823e4febef4e0f8ade7fe2862,3,recorrente
18a765dce0772b5a94d2c03cd01fd6238b284fe990851499dbcd17663a491eb1,3,recorrente
18acc463a1d1fb0546ad192231613afd06a056ce529d41ecbb8d0ac2fee5f2e5,0,ativo
18b04731505857ac60cdeccffb01f492c52247c8a703127634d0361ab56a9fcc,1,unico
18b63a0d3d780064454f71346291201548fb64043f4de41e505985e198bff9bd,0,ativo
18b6c642905c4678cd224d1bd99e0d51183aeb1d1ad9d0e05846d1d86fdc7b0d,0,ativo
18bf3e1cd9d329194b674459964cf4879a54dc6ae20701c40476c6ddeaf067e9,3,recorrente
18bff529fdb2f36fff78f67133dbd5769c2ea368b8dab5c78dccc91f05fd8053,3,recorrente
18d02cd211700c54f89857039abfe6059974231dbaf4ccc14235c2099095bad4,2,novo
18f9b3a0ec1bda7aa5dc4df89e7f60b5167d3c46fd99100fc348d29113064b80,3,recorrente
1915ba4ee78820c58a2520985956fe48d066840fb105ca059ebbc1e6cc90d2d9,0,ativo
191c1a1dd436a0f0b001908b7b4e54232bb3fb237d8a21310e36f739b590b4ea,3,recorrente
192481f9cb72ef186c9061b368a7e52b649b32097c5b245921d0a7f0bede75ac,3,recorrente
1939a0e88e56ef2bf24a96c0f8b2f9fa6a06ba9bc3a686554df2e549024bcad3,3,recorrente
193fcd0ea45379cc0b9509d61d176709c6b037edf843cb463d3c4d04af566873,3,recorrente
194f5a685eb4311ba809823c1b43ed61ec737a6e0d0e7c35e73b830bca3666d2,3,recorrente
196f9bb85be845328dd4e56c0c538251f735a22db88327adf6312f97c32e2055,1,unico
19798f4b1b52460408dc396dbe77f8b8183e4a05dc5be1348227ce899846f2ae,0,ativo
197ba29a421ba82fcc40a5d4b420f62704aba2b94d5bb9fdb1d3147fcb270406,2,novo
197f5afdd49ec79bccf318faffbfc86a1968cbb38d8e43560aa391fe6910d53c,0,ativo
1994a8ca168c6ba15e0abe39cb2936828c4825604a24e32be2e19039dd78d00d,3,recorrente
1997ff3be8a9162a4465e39d088bbaff1b762a198e3632d36ee0f9d3e86ccd47,1,unico
19a712bb0bf1d016bd401fb85ada7ad6792a0845c35d030cb8856886bbe555a3,3,recorrente
19bb86a9106a7f0e88f220d7e9cdfab972e93638fb195bf9e16ded3a57bcd986,0,ativo
19c4c480bda056404a5ccadf2c996025921ab5822ef3aefcacfbd3090d923c6b,3,recorrente
19c59959e4aa18e3270334e006d5d24034bb4813a2d7c1c6caf50b0a99c7e9bf,0,ativo
19f9d1c2af40be21e78d8db06c0fc6316a0a95e9e498cd29ffc58561a3a26f44,0,ativo
1a0d505626e49622391d12cfc54716bad3398fdb3f310672c51a4b455f46c04e,0,ativo
1a22710f40f1f8cc0609dea7bbfbccede26646dc6c50585eb6ede176e582415d,3,recorrente
1a365361178b4f50e47bb486f0a4ae74b3f47527309410174625b7c01d10c409,0,ativo
1a4b948149f682d390d2cbf5b55cf795ecb09bb8150337440ad7b818946d7371,0,ativo
1a635dc3b8545359ed2a4b57f488784f46a4373bba5e81747eb7c98caff33826,2,novo
1a76abc81ae481802eb704798b98cb152e042300bde2ee199d87a0ba44be6294,0,ativo
1a89662d0b3d8b1ebb4b26ef06afd98317b2978e7a96b02989c0405381e34202,3,recorrente
1a8b0de21bee0d57ad0621fd2e0463d7f64c0712a77cd115b9f2aba2153d33d9,2,novo
1a8f2184a34c5886aff977da9195b8525a1d4dc299b049a8a1ae99f8fb341b6f,3,recorrente
1a8fc59c65a2c485d8ebd80977f6c97abfacbd60cf7fa5976d497cf062814fa8,1,unico
